room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
247267,113902,Entire home/apt,,Praha 1,170,5,3,1,1,53,,50.086552,14.433282
254484,1336827,Entire home/apt,,Praha 1,186,5,2,1,1,74,1,50.08519,14.404875
263357,1381526,Entire home/apt,,Praha 2,92,5,4,1,1,49,1,50.077755,14.444928
268847,1224266,Entire home/apt,,Praha 10,99,4.5,3,1,0,45,2,50.064516,14.454367
274532,665461,Entire home/apt,,Praha 2,51,4.5,2,1,1,46,2,50.072713,14.436015
278365,227945,Entire home/apt,,Praha 3,82,4.5,2,1,1,27,,50.08642,14.441955
278524,383698,Entire home/apt,,Praha 1,39,4.5,,4,2,196,,50.081273,14.420255
278580,383698,Entire home/apt,,Praha 1,7,3,,1,1,103,,50.080733,14.419359
279365,665461,Entire home/apt,,Praha 2,30,4.5,2,1,1,46,2,50.071904,14.434557
279380,665461,Entire home/apt,,Praha 2,31,5,2,1,1,55,2,50.071052,14.434513
279773,843497,Entire home/apt,,Praha 1,161,4.5,4,1,1,80,1,50.088391,14.419728
291168,227945,Entire home/apt,,Praha 1,119,4.5,,1,1,46,,50.089625,14.426435
293727,826315,Entire home/apt,,Praha 7,85,4.5,,2,,72,1,50.099836,14.426336
295440,804140,Entire home/apt,,Praha 3,24,4,3,1,,43,2,50.084702,14.453379
300620,1548689,Entire home/apt,,Praha 17,9,5,4,2,1,89,2,50.070166,14.318012
300648,1548809,Entire home/apt,,Praha 4,59,5,3,1,1,58,1,50.05911,14.446229
304027,1564885,Shared room,,Praha 2,104,4.5,,1,8,19,1,50.076597,14.42231
313005,1609845,Private room,,Praha 1,1,5,3,1,1,58,2,50.087159,14.398952
313091,1609845,Entire home/apt,,Praha 1,10,5,3,1,1,58,2,50.087986,14.400707
313967,1613027,Entire home/apt,,Praha 2,34,5,5,1,,70,3,50.07495,14.414178
318204,1629431,Entire home/apt,,Praha 2,44,4.5,4,1,1,44,2,50.072572,14.431781
320262,1629431,Entire home/apt,,Praha 2,90,4.5,4,1,1,44,2,50.073451,14.431519
321289,1629431,Entire home/apt,,Praha 3,55,4,4,0,1,36,2,50.084509,14.450313
324586,1660663,Entire home/apt,,Praha 1,21,5,4,2,,255,2,50.091238,14.433098
327254,1672509,Entire home/apt,,Praha 7,7,5,,1,1,67,2,50.09963,14.423951
335206,901865,Entire home/apt,,Praha 6,53,4.5,,2,1,75,2,50.100875,14.398614
342963,31121,Entire home/apt,,Praha 15,66,5,5,1,1,30,2,50.053226,14.532347
342968,31121,Entire home/apt,,Praha 15,58,5,5,1,1,30,2,50.05426,14.532153
354842,1796561,Entire home/apt,,Praha 3,38,5,3,1,1,95,2,50.07858,14.454896
363381,1335023,Entire home/apt,,Praha 4,105,5,,2,1,52,2,50.061855,14.43286
374937,850917,Entire home/apt,,Praha 1,65,4.5,2,1,1,61,2,50.07884,14.430794
384828,1171182,Entire home/apt,,Praha 10,19,5,3,1,1,38,2,50.072458,14.450391
398079,1988345,Private room,,Praha 2,9,4.5,2,1,1,34,2,50.069772,14.446709
408724,227945,Entire home/apt,,Praha 3,61,4.5,4,1,1,39,,50.087047,14.450396
409046,227945,Entire home/apt,,Praha 3,72,4.5,4,1,1,39,,50.084696,14.453699
415145,1660663,Entire home/apt,,Praha 1,27,5,,4,,406,3,50.090289,14.42408
435072,2161031,Entire home/apt,,Praha 5,207,5,4,1,1,43,1,50.067387,14.367963
437529,2173665,Entire home/apt,,Praha 3,38,4.5,2,0,1,46,2,50.09129,14.482165
448553,2227448,Entire home/apt,,Praha 2,171,4.5,3,1,1,56,3,50.071517,14.433099
448629,1366084,Private room,,Praha 1,0,,,1,1,70,2,50.088654,14.398824
465196,383698,Entire home/apt,,Praha 1,28,4.5,,2,2,185,,50.091033,14.418942
465731,2310411,Private room,,Praha 5,35,4,3,1,1,22,1,50.067787,14.39649
472906,2345419,Private room,,Slivenec,6,4.5,2,1,1,32,1,50.010732,14.34841
474544,2352592,Entire home/apt,,Dolní M?cholupy,43,4.5,2,1,1,25,1,50.056097,14.554661
476442,2361592,Entire home/apt,,Praha 10,95,5,4,2,1,30,1,50.075228,14.494957
488703,1335023,Entire home/apt,,Praha 10,78,5,2,1,1,35,2,50.072003,14.463481
488748,1629431,Entire home/apt,,Praha 7,58,4.5,2,0,1,33,2,50.105162,14.436679
489140,2419343,Entire home/apt,,Praha 5,11,5,4,1,1,62,,50.064756,14.39497
493375,2399088,Private room,,Praha 8,69,5,2,1,,24,2,50.093906,14.452092
498184,2349876,Entire home/apt,,Praha 7,171,5,,3,1,70,2,50.097417,14.425701
498646,2453534,Entire home/apt,,Praha 2,162,4.5,2,1,1,64,2,50.069626,14.417989
499804,2466699,Entire home/apt,,Praha 2,12,4.5,4,2,1,53,2,50.071825,14.4406
500249,2083206,Entire home/apt,,Praha 1,33,5,,1,1,113,3,50.09097,14.432606
502647,2480461,Private room,,Praha 6,50,4.5,2,1,1,24,2,50.103456,14.402586
503693,606694,Entire home/apt,,Praha 1,103,5,4,1,1,99,2,50.087753,14.407246
509287,2509925,Entire home/apt,,Praha 5,77,4.5,4,1,1,56,2,50.080278,14.405833
516322,227945,Entire home/apt,,Praha 3,81,4.5,4,1,1,40,,50.086589,14.451005
519244,2555470,Entire home/apt,,Praha 1,82,5,4,1,1,104,2,50.092797,14.429881
522928,2535406,Private room,,Praha 7,82,4.5,3,1,1,23,1,50.102989,14.425374
531975,2609610,Entire home/apt,,Praha 3,91,4.5,4,1,1,49,1,50.090926,14.458666
535968,227945,Entire home/apt,,Praha 3,95,4.5,4,1,2,45,,50.084312,14.453937
539688,2631036,Entire home/apt,,Praha 1,153,5,2,1,,45,,50.078367,14.416564
544130,2664160,Private room,,Praha 2,17,4.5,2,1,1,26,2,50.072767,14.443738
545934,2196878,Entire home/apt,,Praha 10,134,4.5,,2,1,35,2,50.053997,14.482487
546405,2686341,Private room,,Praha 2,172,4.5,2,1,1,26,2,50.077108,14.441093
549673,2702027,Entire home/apt,,Praha 16,8,4,5,3,1,29,2,49.983766,14.360754
553291,2029497,Entire home/apt,,Praha 1,158,5,3,1,,85,3,50.090851,14.426678
554888,2420777,Entire home/apt,,Praha 1,203,5,3,1,1,50,1,50.08282,14.429762
561841,2729239,Private room,,Praha 3,43,4,3,1,1,20,2,50.093466,14.491348
564492,2775920,Private room,,Praha 10,23,5,5,1,1,30,2,50.070623,14.458266
565497,949736,Entire home/apt,,Praha 8,96,4.5,,4,,109,,50.091273,14.439885
568383,2796474,Entire home/apt,,Praha 5,28,5,2,1,1,45,2,50.059729,14.403876
570548,2807502,Private room,,Praha 10,44,5,5,1,,20,1,50.056888,14.500498
